document_url,length
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-142545-24.mp3,19.944
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-141433-22.mp3,244.224
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-140020-6.mp3,183.384
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-130453-28.mp3,50.328
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-123941-2.mp3,85.464
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-123138-16.mp3,24.048
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-115457-22.mp3,43.632
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-115401-18.mp3,40.032
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-114127-30.mp3,48.6
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-114028-24.mp3,28.296
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-113946-10.mp3,25.488
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-113916-28.mp3,19.44
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-113844-24.mp3,96.408
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-113655-12.mp3,10.872
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-113637-30.mp3,32.112
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-113528-12.mp3,76.032
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-113332-8.mp3,33.912
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-113250-18.mp3,60.696
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-113127-8.mp3,38.52
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-113042-2.mp3,37.224
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-110723-20.mp3,206.568
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-110107-8.mp3,20.88
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-110019-28.mp3,75.528
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-105854-26.mp3,83.304
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-101359-4.mp3,122.112
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-25-101148-26.mp3,109.584
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-214646-30.mp3,32.472
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-160710-10.mp3,431.352
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-155943-4.mp3,6.768
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-154535-2.mp3,728.28
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-144503-24.mp3,13.032
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-144416-20.mp3,15.12
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-144331-10.mp3,5.472
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-144315-30.mp3,13.824
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-141001-2.mp3,552.672
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-140017-14.mp3,1482.264
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-133614-10.mp3,30.816
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-24-133043-12.mp3,36.72
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-233658-24.mp3,89.064
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-213945-28.mp3,80.784
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-212528-24.mp3,50.4
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-205856-12.mp3,32.472
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-205602-20.mp3,35.928
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-205519-24.mp3,32.472
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-205435-16.mp3,39.384
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-171510-2.mp3,379.368
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-162616-10.mp3,215.784
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-161832-30.mp3,923.904
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-23-160121-18.mp3,234.648
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-214007-30.mp3,145.8
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-212529-16.mp3,73.872
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-212206-30.mp3,95.472
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-210729-18.mp3,34.056
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-210508-2.mp3,33.768
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-203356-10.mp3,526.464
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-201632-16.mp3,23.184
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-194257-10.mp3,59.112
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-193530-20.mp3,38.232
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-190450-2.mp3,112.608
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-181916-2.mp3,37.512
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-170340-2.mp3,105.984
